	Arcytophyllum_aristatum	Arcytophyllum_capitatum	Arcytophyllum_ciliolatum	Arcytophyllum_filiforme	Arcytophyllum_lavarum	Arcytophyllum_muticum	Arcytophyllum_peruvianum	Arcytophyllum_rivetii	Arcytophyllum_setosum	Arcytophyllum_thymifolium	Arcytophyllum_vernicosum	Paederia_bojeriana	Phyllis_nobla
1 Km SW de la Georgina, camino a las torres ICE	0	0	0	0	0	0	1	0	0	0	0	0	0
10 km E Antsalova, cerca del borde del Tsingy de Bemaraha	0	0	0	0	0	0	0	0	0	0	0	1	0
10 km NE de la carretera Alao, Cuspipaccha	0	0	0	0	0	0	0	0	1	0	0	0	0
10 km SO de Loja, a lo largo del camino mas alla de la Universidad hacia La Violeta	0	1	0	1	0	0	0	0	0	0	0	0	0
112 km de Cusco en el camino de las ruinas de Machu-picchu	0	0	0	0	0	0	0	0	0	1	0	0	0
12 km de carretera Contumaza a Cascas	0	0	0	0	0	0	0	0	0	1	0	0	0
1-2 km NE-E de Hacienda Pinatura, 5 km E de Pintag	0	0	0	0	0	0	0	0	0	1	0	0	0
17 km E de Canchaque en ruta a Huancabamba	0	0	0	0	0	0	0	1	0	0	0	0	0
2 km S de Itamut, Cerro Fabrega	0	0	0	0	1	0	0	0	0	0	0	0	0
24 Km al NE de San Carlos hacia San Nicolas     	0	0	0	0	0	0	0	0	0	1	0	0	0
4 km E de Hacienda Guachala, S de Cayambe	0	0	0	0	0	0	0	0	0	1	0	0	0
55 km S de Tulcan, carretera Panamericana	0	0	0	0	0	0	0	0	0	1	0	0	0
7 km NW de Incahuasi, Cerro Punamachay	0	0	1	0	0	0	0	0	0	0	0	0	0
7 km por encima de la carretera a las Antenas	0	0	0	0	0	0	0	1	0	0	0	0	0
Alto Chamis, al O de Cajamarca	0	0	1	1	0	0	0	0	0	0	0	0	0
Alto El Diable	0	0	0	0	0	0	0	1	0	0	0	0	0
Archipielago de Madeira, Puerto Moniz	0	0	0	0	0	0	0	0	0	0	0	0	1
Area de Conservacion Regional Imiria	0	0	1	1	0	1	0	0	0	0	0	0	0
Baños de Cuenca	0	0	0	0	0	0	0	1	0	0	0	0	0
Cabeceras del rio Palo, alto de Las Casitas	1	0	0	0	0	0	1	0	0	0	0	0	0
Cacha, 10 km SW de Riobamba	0	0	0	0	0	0	0	0	0	1	0	0	0
Cajabamba - Luchubamba	0	0	0	0	0	0	0	0	0	1	0	0	0
Camino Alao - Huamboya, alrededor del paso	1	1	0	0	0	0	0	0	0	0	0	0	0
Camino entre Soloco y Quitachi, cerca a las ruinas de Purunllacota	0	0	0	0	0	0	0	0	0	1	0	0	0
Camino Sevilla de Oro - Mendez, Paramo de Castillo	0	0	0	1	0	0	0	0	1	0	1	0	0
Camporredondo, entre Brasil y Pucho	0	0	0	0	0	0	0	0	0	1	0	0	0
Canton Tabacundo, Sector Malchingui San Juan	0	0	0	0	0	0	0	0	0	1	0	0	0
Carache, Via Paramo 	0	0	0	0	0	0	1	0	0	0	0	0	0
Carretera Azogues - Pindilig, km 8-10 de Azogues	0	0	0	0	0	0	0	1	0	0	0	0	0
Carretera Balsas-Leimebamba, pasando Lasachupas	0	0	0	0	0	0	0	0	0	1	0	0	0
Carretera Baños-Nero, km 91 	0	0	0	1	0	0	0	0	0	0	0	0	0
Carretera Cajamarca-Bambamarca, 55 km N de Cajamarca  	0	0	0	0	0	0	0	1	0	0	0	0	0
Carretera Cañar - El Tambo, km 3 de Cañar	0	0	0	0	0	0	0	0	0	1	0	0	0
Carretera Cayambe - Olmedo, km 7	0	0	0	0	0	0	0	0	0	1	0	0	0
Carretera Chiquintad-Labrado, Presa Chanlud, km 269	0	0	1	0	0	0	0	0	0	0	0	0	0
Carretera Cucaita - Tunja	0	0	0	0	0	0	1	0	0	0	0	0	0
Carretera Cuenca - Loja, 68 km S de Cuenca	0	0	0	1	0	0	0	0	0	0	0	0	0
Carretera Cuenca-Cumbe-Jima, 4 km arriba de Jima, Palacurcu	0	1	0	0	0	0	0	0	0	0	0	0	0
Carretera de Huancayo a Tarma	0	0	0	0	0	0	0	0	0	1	0	0	0
Carretera El Angel - Mira, 35 km W de El Angel	0	0	0	0	0	0	0	0	0	1	0	0	0
Carretera El Cisne - Zarum, km 5	0	0	0	0	0	0	0	1	0	0	0	0	0
