	Calceolaria_atahualpae	Calceolaria_ballotifolia	Calceolaria_barbata	Calceolaria_bicrenata	Calceolaria_biflora	Calceolaria_boliviana	Calceolaria_brachiata	Calceolaria_brunellifolia	Calceolaria_buchtieniana	Calceolaria_calycina	Calceolaria_cavanillesii	Calceolaria_chelidonioides	Calceolaria_comosa	Calceolaria_connatifolia	Calceolaria_corymbosa	Calceolaria_crenatiflora	Calceolaria_cypripediiflora	Calceolaria_dentata	Calceolaria_dentifolia	Calceolaria_dichotoma	Calceolaria_dilatata	Calceolaria_elatior	Calceolaria_engleriana	Calceolaria_ericoides	Calceolaria_filicaulis	Calceolaria_fusca	Calceolaria_gaultherioides	Calceolaria_germainii	Calceolaria_glacialis	Calceolaria_glauca	Calceolaria_gossypina	Calceolaria_helianthemoides	Calceolaria_inflexa	Calceolaria_integrifolia	Calceolaria_jujuyensis	Calceolaria_lagunae_blancae	Calceolaria_lamiifolia	Calceolaria_lanata	Calceolaria_lanceolata	Calceolaria_lavandulifolia	Calceolaria_lehmanniana	Calceolaria_linearis	Calceolaria_lobata	Calceolaria_maculata	Calceolaria_mandoniana	Calceolaria_martinezii	Calceolaria_mendocina	Calceolaria_microbefaria	Calceolaria_moyobambae	Calceolaria_myriophylla	Calceolaria_nivalis	Calceolaria_oblonga	Calceolaria_obtusa	Calceolaria_parviflora	Calceolaria_parvifolia	Calceolaria_pavonii	Calceolaria_pedunculata	Calceolaria_penlandii	Calceolaria_pennellii	Calceolaria_perfoliata	Calceolaria_petiolaris	Calceolaria_phaceliifolia	Calceolaria_phaeotricha	Calceolaria_pinifolia	Calceolaria_plectranthifolia	Calceolaria_polyclada	Calceolaria_polyfolia	Calceolaria_prichardii	Calceolaria_purpurascens	Calceolaria_revoluta	Calceolaria_rivularis	Calceolaria_rosmarinifolia	Calceolaria_rugulosa	Calceolaria_rupestris	Calceolaria_salicifolia	Calceolaria_santolinoides	Calceolaria_scabra	Calceolaria_semiconnata	Calceolaria_sericea	Calceolaria_sparsiflora	Calceolaria_spruceana	Calceolaria_stricta	Calceolaria_virgata	Calceolaria_volckmannii	Calceolaria_vulpina	Jovellana_punctata	Jovellana_violacea	Porodittia_triandra
1 km NW de Ovejuyo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 Km de Sorata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 km NE de Suchi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 km SO de Loja, a lo largo del camino mas alla de la Universidad hacia La Violeta	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-15 km de Sigchos a lo largo del Rio Toachi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
112 km de Cusco en el camino de herradura de las ruinas de Machu-picchu, hacia puente ruinas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112 km de Cusco en el camino de las ruinas de Machu-picchu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.7 km al sur de Palca por el camino a Lacayani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17 km E de Canchaque en ruta a Huancabamba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
198 km E del paso entre Mururata y Illimani	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
