	Amellus_microglossus	Amellus_strigosus	Archibaccharis_androgyna	Archibaccharis_asperifolia	Archibaccharis_schiedeana	Aztecaster_matudae	Aztecaster_pyramidatus	Baccharis_boliviensis	Blakiella_bartsiifolia	Brachyscome_rigidula	Chiliotrichum_diffusum	Commidendrum_robustum	Conyza_pyrrhopappa	Crinitaria_linosyris	Diplostephium_alveolatum	Diplostephium_anactinotum	Diplostephium_azureum	Diplostephium_bicolor	Diplostephium_cayambense	Diplostephium_colombianum	Diplostephium_crassifolium	Diplostephium_ericoides	Diplostephium_espinosae	Diplostephium_floribundum	Diplostephium_foliosissimum	Diplostephium_glandulosum	Diplostephium_haenkei	Diplostephium_heterophyllum	Diplostephium_inesianum	Diplostephium_jaramilloi	Diplostephium_lacunosum	Diplostephium_ochraceum	Diplostephium_phylicoides	Diplostephium_revolutum	Diplostephium_rhomboidale	Diplostephium_romeroi	Diplostephium_rosmarinifolius	Diplostephium_rupestre	Diplostephium_schultzii_var_orientale	Diplostephium_schultzii_var_schultzii	Diplostephium_tenuifolium	Diplostephium_venezuelense	Doellingeria_umbellata	Eucephalus_glabratus	Felicia_aethiopica	Floscaldasia_hypsophila	Grangea_maderaspatana	Guynesomia_scoparia	Heterothalamus_spartioides	Hinterhubera_adenopetala	Hinterhubera_columbica	Hinterhubera_ericoides	Hinterhubera_imbricata	Hinterhubera_lanuginosa	Hinterhubera_laseguei	Kalimeris_pinnatifida	Keysseria_maviensis	Laennecia_schiedeana	Laennecia_sophiifolia	Laestadia_costaricensis	Laestadia_muscicola	Laestadia_pinifolia	Lagenifera_panamensis	Lagenophora_pumila	Llerasia_lindenii	Madagaster_madagascariensis	Madagaster_mandrarensis	Nidorella_polycephala	Nidorella_resedifolia	Olearia_ramulosa	Olearia_rosmarinifolia	Oritrophium_hieracioides	Oritrophium_peruvianum	Parastrephia_lepidophylla	Parastrephia_lucida	Parastrephia_phyliciformis	Parastrephia_quadrangularis	Parastrephia_teretiuscula	Plagiocheilus_bogotensis	Plagiocheilus_soliviformis	Podocoma_notobellidiastrum	Psiadia_punctulata	Sommerfeltia_spinulosa	Tetramolopium_humile_var_humile	Westoniella_chirripoensis	Westoniella_eriocephala	Westoniella_kohkemperi	Westoniella_triunguifolia	Zyrphelis_decumbens
1 km al este de La Estanzuela, por la carretera a Nieves	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al NE de Santo Tomas Atzingo-Amecameca	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al norte del entronque con la carretera San Luis Potosi - Ojuelos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al SW de La Yesca	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al W de Villa de Arriaga, por la terraceria a Cerrito de Dolores	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km por la desviacion a Acaquizapan, carretera Huajuapan de Leon-Tehuacan	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 Km SW de la Georgina, camino a las torres ICE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1,2 km NW de Pinola Las Rosas junto a la carretera a Teopisca	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 km al NW de la Mesa del Nayar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 km al SE de Tequexquinahuac, la Cima del Cerro Tlaloc	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
