	Aragoa_cupressina	Plantago_afra	Plantago_albicans	Plantago_alpina	Plantago_amplexicaulis	Plantago_arborescens	Plantago_arenaria	Plantago_aristata	Plantago_asiatica	Plantago_atrata	Plantago_australis	Plantago_bellardii	Plantago_ciliata	Plantago_cornuti	Plantago_coronopus	Plantago_crassifolia	Plantago_cretica	Plantago_debilis	Plantago_erecta	Plantago_euryphylla	Plantago_famarae	Plantago_hookeriana	Plantago_lagopus	Plantago_lanceolata	Plantago_leiopetala	Plantago_lundborgii	Plantago_macrorhiza	Plantago_major	Plantago_maritima	Plantago_mauritanica	Plantago_maxima	Plantago_media	Plantago_myosuros	Plantago_nivalis	Plantago_palmata	Plantago_patagonica	Plantago_raoulii	Plantago_reniformis	Plantago_rhodosperma	Plantago_rigida	Plantago_sarcophylla	Plantago_sempervirens	Plantago_sericea	Plantago_serraria	Plantago_spathulata	Plantago_squarrosa	Plantago_stauntonii	Plantago_stocksii	Plantago_subspathulata	Plantago_subulata	Plantago_tandilensis	Plantago_tenuiflora	Plantago_tomentosa	Plantago_uniflora	Plantago_uniglumis	Plantago_webbii
1 km al E de Benquerencia de la Sierra	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al E de Casinos	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al E de Estombar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al N de Aldea de Fresno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al N de Almendral	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al N de Nules	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al S de Moron de la Frontera	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al S de San Felismo	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al S de Trabujena	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al S de Valverde del Camino	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al SE de Pozuelo de Zarzan	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al SW de Marchena	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1 km al SW de Monda	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
