Localidades	Id
1 1/2 milla sur de Greasy, Tennessee	1
1 1/2 millas sur de Vanceburg, Kentucky	2
1 km al E de Benquerencia de la Sierra	3
1 km al E de Casinos	4
1 km al E de Estombar	5
1 km al E de Villaverde la Chiquita	6
1 km al este de Bujenje Kinyara	7
1 km al este de La Estanzuela, por la carretera a Nieves	8
1 km al N de Aldea de Fresno	9
1 km al N de Almendral	10
1 km al N de Nules	11
1 km al NE de Huatzanguio, Lagunillas	12
1 km al NE de Santo Tomas Atzingo-Amecameca	13
1 km al norte del entronque con la carretera San Luis Potosi - Ojuelos	14
1 km al S de Moron de la Frontera	15
1 km al S de San Felismo	16
1 km al S de Trabujena	17
1 km al S de Valverde del Camino	18
1 km al SE de Pozuelo de Zarzan	19
1 km al SW de La Yesca	20
1 km al SW de Marchena	21
1 km al SW de Monda	22
1 km al W de Helechal	23
1 km al W de Villa de Arriaga, por la terraceria a Cerrito de Dolores	24
1 km antes de La Carrera en direccion a Potrerillos	25
1 Km E de San Pedro Yucumana	26
1 km NW de Montes Bald	27
1 km NW de Ovejuyo	28
1 km por la desviacion a Acaquizapan, carretera Huajuapan de Leon-Tehuacan	29
1 km S Arzberg	30
1 km sobre el camino a La Toma, a partir de la carretera Guadalajara - Tequila	31
1 Km SW de la Georgina, camino a las torres ICE	32
1 mi Este del Rancho McCaula h	33
1 mi Sureste de Monte Oso	34
1 milla norte de Washington	35
1 milla norte de Zenag	36
1 milla oeste de Carefree, en I-17, norte de Phoenix 	37
1 milla sur de Lago Goose	38
1 milla Sur de Villa Easton	39
1 milla sur del Bosque en la carretera Merek 	40
1 milla W del Paso Pennock 	41
1 millas al este de Orpis, en la llanura de inundacion de San Cristobal	42
1 millas de Big 4 Inn	43
1 millas Este de Lostine	44
1 millas Este de Paso Dallas, W de Ridgeway	45
1 millas norte de Rio Sauk 	46
1 millas SE de Fallas Granite, a lo largo de Arroyo Coon 	47
1,2 km NW de Pinola Las Rosas junto a la carretera a Teopisca	48
1/2 milla NW de Athens, Rio Moines	49
1/2 millas Este de College	50
1/2 millas sur de Canyonville en Intersecion I-5	51
1/4 milla al oeste de Beacon en el extremo noreste de Jeep	52
10 km al NW de la Mesa del Nayar	53
10 Km al S de Bzou Beni-Mellal	54
10 km al SE de Tequexquinahuac, la Cima del Cerro Tlaloc	55
10 km al sur de La Purisima	56
10 km al W de Osuna	57
10 km de Mesferki a Naima en la carretera 5334	58
10 km de Muyupampa sobre el camino principal hacia Camiri	59
10 Km de Sorata	60
10 km E Antsalova, cerca del borde del Tsingy de Bemaraha	61
10 km NE de Chuspipata en carretera  Yolosa	62
10 km NE de la carretera Alao, Cuspipaccha	63
10 km NE de Suchi	64
10 km S de la Ruta Nacional 2 de Antananarivo a Toamasina	65
10 km SO de Loja, a lo largo del camino mas alla de la Universidad hacia La Violeta	66
10 km Sur de Ambalavao y 332 km Norte de Rio Zomandao 	67
10 km sur de Cartago, confluencia del Rio Empalme y Rio Estrella	68
10 km sur de Chillanes 	69
10 km W de Otavalo, Cerro Blanco, carretera a San Jose de Minas 	70
10 milla W de Paradox	71
10 millas al norte de Montanas Presa Stewart	72
10 millas Este de Bahia Neah	73
10 millas este de Gilmore	74
10 millas N de Campamento Sherman	75
10 millas N de Gran Lago	76
10 millas norte de Farley	77
10 millas oeste de Challis	78
10 millas S de Montaña Humbug	79
10 millas SE de Hatfield, Pradera Pawnee	80
10 millas SSE de Wayland	81
10 millas sur de McCall	82
10 millas suroeste de Lowman	83
100 m antes del entronque con la carretera Texcoco-Veracruz	84
10-15 km de Sigchos a lo largo del Rio Toachi	85
10-20 km NW Laguna de los Pozuelos	86
105 km al ONO de Tehuantepec, a 65 km ESE de Totolapan	87
11 km N de Ventilla a lo largo del Rio Choquekkota	88
11 km NW de Jaguara, Granja Monte Verde	89
11 km NW de la carretera el Porvenir a Siltepec	90
11 millas N de Sutherland, Rio Umpqua	91
112 km de Cusco en el camino de herradura de las ruinas de Machu-picchu, hacia puente ruinas	92
112 km de Cusco en el camino de las ruinas de Machu-picchu	93
113 km SW de Magdalena en el camino a Cucurpe 	94
12 km de carretera Contumaza a Cascas	95
12 km de Conda-Gabela	96
12 km despues de Sultepec, rumbo a San Miguel Totolmaloya	97
12 km Este de Maldonado en la carretera a Tulcan	98
12 km N de Bandera	99
12 km NE de Santiago de Chiquitos	100
1-2 km NE-E de Hacienda Pinatura, 5 km E de Pintag	101
12 km noroeste de Saraguro en Loma Paredones	102
12 km Noroeste de Villa Endulen 	103
1-2 km W de Tufiño 	104
12 mi SW de Corona	105
12 millas N de Wabag	106
12 millas noreste de Emmett	107
12 millas por el sendero Hewlett Gulch, Oeste de Fuerte Collins 	108
12 millas suoeste de Leadore, Montañas Lemhi 	109
12,1 km al noreste de Sissian	110
12.7 km al sur de Palca por el camino a Lacayani	111
12-18  km E de La Peca en Serrania de Bagua	112
125 km E de Patricia Pilar 	113
125 km N de Villa Brands	114
125 km SO de Khenichet carretera de Souk-el-Arba  	115
125 millas W de Middle 	116
13 km al W de Lorca	117
13 km de Luiu en direccion a Canabrava, Jaculhi	118
1-3 km E de San Ramon 	119
13 km N de Arriaga a lo largo de la via Mexicana 195	120
13 mi SW de Altamirano, Sierra La Brena	121
13 millas aereas sureste de Boradman por el extremo suroeste de Finley Butte	122
13 millas via Elliott, Willow Cr	123
131 km hacia Tambo Quemado, 3 km despues del desvio por Putre	124
132 km este de La Estrellita en la carretera a El Carmelo	125
14 km al SW de Xalisco en el camino de terraceria a el Carrizal	126
14 km en la carretera Babati, junto a Makiungu 	127
14 millas Este de Chariton, 1 milla norte de la via 34	128
14 millas sur de Regina	129
14 millas sureste de Rio Red 	130
144 km de P19 de conexiones y caminos S408 Hacia Touissit 	131
15 km al E de Villaescusa	132
15 km al sur de Viesca, por la terraceria a San Juan de los Charcos, Mazapil	133
15 km de Seabra	134
