"","area","I","Ie","Is","Ise","W","We","Ws","Wse","rich","endem","jtopol","jtip"
"1","1 km al E de Villaverde la Chiquita",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"2","1 km al NE de Huatzanguio, Lagunillas",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"3","1 km al NE de Santo Tomas Atzingo-Amecameca",34,17,0.003,0.002,2.922,1.461,0.001,0,2,0,0,0
"4","1 km al S de Moron de la Frontera",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"5","1 km al S de San Felismo",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"6","1 km al SW de La Yesca",2,1,0,0,2.25,1.125,0,0,2,0,0,0
"7","1 km al SW de Monda",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"8","1 Km E de San Pedro Yucumana",2,1,0,0,2.51,1.255,0,0,2,0,0,0
"9","1 km NW de Montes Bald",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"10","1 km S Arzberg",1,1,0,0,2,2,0,0,1,0,0,0
"11","1 mi Este del Rancho McCaula h",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"12","1 mi Sureste de Monte Oso",2,1,0,0,2.4,1.2,0,0,2,0,0,0
"13","1 milla norte de Washington",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"14","1 milla sur de Lago Goose",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"15","1 milla sur del Bosque en la carretera Merek ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"16","1 millas de Big 4 Inn",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"17","1 millas Este de Paso Dallas, W de Ridgeway",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"18","1/2 millas sur de Canyonville en Intersecion I-5",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"19","10 km al NW de la Mesa del Nayar",5,2.5,0,0,2.486,1.243,0,0,2,0,0,0
"20","10 km al SE de Tequexquinahuac, la Cima del Cerro Tlaloc",1,1,0,0,1.5,1.5,0,0,1,0,0,0
"21","10 km al W de Osuna",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"22","10 km de Muyupampa sobre el camino principal hacia Camiri",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"23","10 km NE de Chuspipata en carretera  Yolosa",2,2,0,0,1.636,1.636,0,0,1,0,0,0
"24","10 km NE de Suchi",1,1,0,0,1,1,0,0,1,0,0,0
"25","10 km SO de Loja, a lo largo del camino mas alla de la Universidad hacia La Violeta",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"26","10 km sur de Chillanes ",1,1,0,0,1.059,1.059,0,0,1,0,0,0
"27","10 milla W de Paradox",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"28","10 millas Este de Bahia Neah",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"29","10 millas este de Gilmore",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"30","10 millas N de Campamento Sherman",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"31","10 millas N de Gran Lago",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"32","10 millas oeste de Challis",10,10,0.001,0.001,1.636,1.636,0,0,1,0,0,0
"33","10 millas sur de McCall",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"34","10 millas suroeste de Lowman",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"35","10-15 km de Sigchos a lo largo del Rio Toachi",3,1.5,0,0,2.695,1.348,0,0,2,0,0,0
"36","11 km N de Ventilla a lo largo del Rio Choquekkota",4,4,0,0.001,1.385,1.385,0,0,1,0,0,0
"37","11 millas N de Sutherland, Rio Umpqua",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"38","112 km de Cusco en el camino de las ruinas de Machu-picchu",3,1,0,0,3.176,1.059,0.001,0,3,0,0,0
"39","12 millas suoeste de Leadore, Montañas Lemhi ",10,10,0.001,0.001,1.636,1.636,0,0,1,0,0,0
"40","125 km E de Patricia Pilar ",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"41","125 millas W de Middle ",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"42","13 km N de Arriaga a lo largo de la via Mexicana 195",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"43","13 mi SW de Altamirano, Sierra La Brena",2,2,0,0,1.286,1.286,0,0,1,0,0,0
"44","131 km hacia Tambo Quemado, 3 km despues del desvio por Putre",1,1,0,0,1,1,0,0,1,0,0,0
"45","14 km al SW de Xalisco en el camino de terraceria a el Carrizal",32,32,0.003,0.004,1.636,1.636,0,0,1,0,0,0
"46","14 millas sur de Regina",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"47","14 millas sureste de Rio Red ",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"48","15 km al E de Villaescusa",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"49","15 km hacia el Noroeste de las instalaciones del Campo Experimental Las Margaritas, INIFAP",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"50","15 Km NE del Cerro Pelon, Fila Coton, Sabalito",1,1,0,0,1.125,1.125,0,0,1,0,0,0
"51","15 millas este de Cle Elum",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"52","15 millas Oeste desde Pico Pryamillasd, en las montañas Beaverhead",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"53","15 millas SSE de la Torre de Radio Kendall ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"54","16 millas Norte de Montes Quartz ",1,1,0,0,1.385,1.385,0,0,1,0,0,0
"55","16 millas oeste de Lincoln, Rio Black ",1,1,0,0,1.636,1.636,0,0,1,0,0,0
"56","17 km E de Canchaque en ruta a Huancabamba",1,1,0,0,1,1,0,0,1,0,0,0
"57","18 km al SE de Perote, por la brecha a la cima del Volcan Cofre de Perote",3,1.5,0,0,3,1.5,0.001,0,2,0,0,0
"58","19 millas de Escuela Cathay, Indian Gulch Quad",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"59","2 km al N de Alaejos",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"60","2 km al N de Archidona",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"61","2 km al N de Villamar de Los Escuderos",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"62","2 km al SE de Chiclana",1,1,0,0,3,3,0.001,0.001,1,0,0,0
"63","2 km al W de Honrubia",1,1,0,0,2.25,2.25,0,0.001,1,0,0,0
"64","2 km oeste de la La Virgin en la carretera de Pifo a Papallacta",1,1,0,0,1,1,0,0,1,0,0,0
"65","2 km S de Itamut, Cerro Fabrega",4,4,0,0.001,2,2,0,0,1,0,0,0
"66","2 km SE de Nueva Vinodolski en el camino real, cerca de la playa",1,1,0,0,2.571,2.571,0,0.001,1,0,0,0
"67","2 milla sur de Roseburgth",2,1,0,0,4.2,2.1,0.001,0.001,2,0,0,0
"68","2 millas al sur de carretera Brown",1,1,0,0,1.2,1.2,0,0,1,0,0,0
"69","2 millas de carretera al norte de Lago de Codorniz",1,1,0,0,1.2,1.2,0,0,1,0,0,0
